"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6142",-80.78791,28.62577,2022-04-27,31
"A69-9007-6142",-80.78791,28.62577,2022-04-28,28
"A69-9007-6142",-80.78791,28.62577,2022-04-29,9
"A69-9007-6142",-80.78791,28.62577,2022-05-02,16
"A69-9007-6142",-80.78791,28.62577,2022-05-03,6
"A69-9007-6142",-80.78791,28.62577,2022-05-04,78
"A69-9007-6142",-80.78791,28.62577,2022-05-05,12
"A69-9007-6142",-80.78791,28.62577,2022-05-06,8
"A69-9007-6142",-80.78791,28.62577,2022-05-07,16
"A69-9007-6142",-80.78791,28.62577,2022-05-08,89
"A69-9007-6142",-80.78791,28.62577,2022-05-09,97
"A69-9007-6142",-80.78791,28.62577,2022-05-10,66
"A69-9007-6142",-80.78791,28.62577,2022-05-11,25
"A69-9007-6142",-80.78791,28.62577,2022-05-12,250
"A69-9007-6142",-80.78791,28.62577,2022-05-13,145
"A69-9007-6142",-80.78791,28.62577,2022-05-14,108
"A69-9007-6142",-80.78791,28.62577,2022-05-15,83
"A69-9007-6142",-80.78791,28.62577,2022-05-16,152
"A69-9007-6142",-80.78791,28.62577,2022-05-17,91
"A69-9007-6142",-80.78791,28.62577,2022-05-18,82
"A69-9007-6142",-80.78791,28.62577,2022-05-19,11
"A69-9007-6142",-80.78791,28.62577,2022-05-20,12
"A69-9007-6142",-80.78791,28.62577,2022-05-21,41
"A69-9007-6142",-80.78791,28.62577,2022-05-22,16
"A69-9007-6142",-80.78791,28.62577,2022-05-27,13
"A69-9007-6142",-80.78791,28.62577,2022-05-28,26
"A69-9007-6142",-80.78791,28.62577,2022-05-29,75
"A69-9007-6142",-80.78791,28.62577,2022-05-30,43
"A69-9007-6142",-80.78791,28.62577,2022-05-31,91
"A69-9007-6142",-80.78791,28.62577,2022-06-01,69
"A69-9007-6142",-80.78791,28.62577,2022-06-02,17
"A69-9007-6142",-80.78791,28.62577,2022-06-03,29
"A69-9007-6142",-80.78791,28.62577,2022-06-04,41
"A69-9007-6142",-80.78791,28.62577,2022-06-05,16
"A69-9007-6142",-80.78791,28.62577,2022-06-06,48
"A69-9007-6142",-80.78791,28.62577,2022-06-07,33
"A69-9007-6142",-80.78791,28.62577,2022-06-08,22
"A69-9007-6142",-80.78791,28.62577,2022-06-09,3
"A69-9007-6142",-80.78791,28.62577,2022-06-10,1
"A69-9007-6142",-80.78791,28.62577,2022-06-14,7
"A69-9007-6142",-80.78791,28.62577,2022-06-15,1
"A69-9007-6142",-80.78791,28.62577,2022-06-16,7
"A69-9007-6142",-80.78791,28.62577,2022-06-18,1
"A69-9007-6142",-80.78791,28.62577,2022-06-19,17
"A69-9007-6142",-80.78791,28.62577,2022-06-20,9
"A69-9007-6142",-80.78791,28.62577,2022-06-21,9
"A69-9007-6142",-80.78791,28.62577,2022-06-22,31
"A69-9007-6142",-80.78791,28.62577,2022-06-24,8
"A69-9007-6142",-80.78791,28.62577,2022-06-25,64
"A69-9007-6142",-80.78791,28.62577,2022-06-28,20
"A69-9007-6142",-80.78791,28.62577,2022-06-29,9
"A69-9007-6142",-80.78791,28.62577,2022-06-30,3
"A69-9007-6142",-80.78791,28.62577,2022-07-02,11
"A69-9007-6142",-80.78791,28.62577,2022-07-03,6
"A69-9007-6142",-80.78791,28.62577,2022-07-07,3
"A69-9007-6142",-80.78791,28.62577,2022-07-13,2
"A69-9007-6142",-80.78791,28.62577,2022-07-16,1
"A69-9007-6142",-80.78791,28.62577,2022-07-17,30
"A69-9007-6142",-80.78791,28.62577,2022-07-18,39
"A69-9007-6142",-80.78791,28.62577,2022-07-19,163
"A69-9007-6142",-80.78791,28.62577,2022-07-20,170
"A69-9007-6142",-80.78791,28.62577,2022-07-21,30
"A69-9007-6142",-80.78791,28.62577,2022-07-22,3
"A69-9007-6142",-80.78791,28.62577,2022-07-24,9
"A69-9007-6142",-80.78791,28.62577,2022-07-25,8
"A69-9007-6142",-80.78791,28.62577,2022-07-26,4
"A69-9007-6142",-80.78791,28.62577,2022-07-27,12
"A69-9007-6142",-80.78791,28.62577,2022-07-28,1
"A69-9007-6142",-80.78791,28.62577,2022-11-22,4
"A69-9007-6142",-80.78791,28.62577,2022-11-23,45
"A69-9007-6142",-80.78791,28.62577,2022-11-24,14
"A69-9007-6142",-80.78791,28.62577,2022-11-25,53
"A69-9007-6142",-80.78791,28.62577,2022-11-26,41
"A69-9007-6142",-80.78791,28.62577,2022-11-27,4
"A69-9007-6142",-80.78791,28.62577,2022-11-28,17
"A69-9007-6142",-80.78791,28.62577,2022-11-29,80
"A69-9007-6142",-80.78791,28.62577,2022-11-30,15
"A69-9007-6142",-80.78791,28.62577,2022-12-01,15
"A69-9007-6142",-80.78791,28.62577,2022-12-02,34
"A69-9007-6142",-80.78791,28.62577,2022-12-03,66
"A69-9007-6142",-80.78791,28.62577,2022-12-04,50
"A69-9007-6142",-80.78791,28.62577,2022-12-05,21
"A69-9007-6142",-80.78791,28.62577,2022-12-06,71
"A69-9007-6142",-80.78791,28.62577,2022-12-07,30
"A69-9007-6142",-80.78791,28.62577,2022-12-08,35
"A69-9007-6142",-80.78791,28.62577,2022-12-09,36
"A69-9007-6142",-80.78791,28.62577,2022-12-10,13
"A69-9007-6142",-80.78791,28.62577,2022-12-11,11
"A69-9007-6142",-80.78791,28.62577,2022-12-12,6
"A69-9007-6142",-80.78791,28.62577,2022-12-13,2
"A69-9007-6142",-80.78791,28.62577,2022-12-14,1
"A69-9007-6142",-80.78791,28.62577,2022-12-15,9
"A69-9007-6142",-80.78791,28.62577,2022-12-16,33
